altura,seleccion,pais,peso,nombre,posicion,edad
189,Argentina,Argentina,88,Franco Armani,Arquero,36
189,Argentina,Argentina,84,Gerónimo Rulli,Arquero,30
195,Argentina,Argentina,88,Emiliano Martínez,Arquero,30
187,Argentina,Argentina,83,Juan Foyth,Defensor,24
172,Argentina,Argentina,66,Nicolás Tagliafico,Defensor,30
175,Argentina,Argentina,68,Gonzalo Montiel,Defensor,25
187,Argentina,Argentina,82,Germán Pezzella,Defensor,31
172,Argentina,Argentina,69,Marcos Acuña,Defensor,31
185,Argentina,Argentina,79,Cristian Romero,Defensor,24
183,Argentina,Argentina,81,Nicolás Otamendi,Defensor,34
175,Argentina,Argentina,77,Lisandro Martínez,Defensor,24
175,Argentina,Argentina,70,Nahuel Molina,Defensor,24
182,Argentina,Argentina,75,Leandro Paredes,Mediocampista,28
180,Argentina,Argentina,70,Rodrigo De Paul,Mediocampista,28
180,Argentina,Argentina,75,Ángel Di María,Mediocampista,34
177,Argentina,Argentina,67,Exequiel Palacios,Mediocampista,24
171,Argentina,Argentina,63,Thiago Almada,Mediocampista,21
167,Argentina,Argentina,68,Papu Gómez,Mediocampista,34
185,Argentina,Argentina,80,Guido Rodríguez,Mediocampista,28
176,Argentina,Argentina,69,Alexis Mac Allister,Mediocampista,23
178,Argentina,Argentina,76,Enzo Fernández,Mediocampista,21
170,Argentina,Argentina,71,Julián Álvarez,Delantero,22
170,Argentina,Argentina,72,Lionel Messi,Delantero,35
171,Argentina,Argentina,68,Ángel Correa,Delantero,27
177,Argentina,Argentina,75,Paulo Dybala,Delantero,29
174,Argentina,Argentina,72,Lautaro Martínez,Delantero,25
184,Australia,Australia,80,Mathew Ryan,Arquero,30
194,Australia,Australia,87,Andrew Redmayne,Arquero,33
187,Australia,Australia,96,Daniel Vukovic,Arquero,37
187,Australia,Australia,80,Milos Degenek,Defensor,28
181,Australia,Australia,73,Nathaniel Atkinson,Defensor,23
185,Australia,Australia,90,Kye Rowles,Defensor,24
181,Australia,Australia,75,Fran Karacic,Defensor,26
184,Australia,Australia,83,Bailey Wright,Defensor,30
170,Australia,Australia,63,Aziz Behich,Defensor,31
198,Australia,Australia,80,Harry Souttar,Defensor,24
178,Australia,Australia,74,Thomas Deng,Defensor,25
179,Australia,Australia,78,Joel King,Defensor,22
183,Australia,Australia,78,Ajdin Hrustic,Mediocampista,26
175,Australia,Australia,74,Aaron Mooy,Mediocampista,32
178,Australia,Australia,72,Riley McGree,Mediocampista,24
171,Australia,Australia,68,Cameron Devlin,Mediocampista,24
189,Australia,Australia,77,Jackson Irvine,Mediocampista,29
178,Australia,Australia,67,Keanu Baccus,Mediocampista,24
